"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Hooded warbler,Increasing,Yes,Long-distance migrants
Horned grebe,Stable,Yes,Wetland birds
Horned grebe,Stable,Yes,Marine birds
Horned Lark,Decreasing,Yes,Grassland birds
Horned puffin,Data deficient,Yes,Marine birds
Hudsonian godwit,Decreasing,Yes,Arctic birds
Hudsonian godwit,Decreasing,Yes,Long-distance migrants
Hudsonian godwit,Decreasing,Yes,Shorebirds
Hutton's vireo,Increasing,Yes,Forest birds
Iceland gull,Increasing,Yes,Arctic birds
Iceland gull,Increasing,Yes,Marine birds
Indigo bunting,Increasing,Yes,Long-distance migrants
Ivory gull,Decreasing,Yes,Arctic birds
Ivory gull,Decreasing,Yes,Marine birds
Killdeer,Decreasing,Yes,Shorebirds
King eider,Decreasing,Yes,Waterfowl
King eider,Decreasing,Yes,Marine birds
King eider,Decreasing,Yes,Arctic birds
King rail,Data deficient,Yes,Wetland birds
Kirtland's warbler,Increasing,Yes,Forest birds
Kirtland's warbler,Increasing,Yes,Long-distance migrants
Lapland longspur,Increasing,Yes,Arctic birds
Lark bunting,Decreasing,Yes,Grassland birds
Lark sparrow,Increasing,Yes,Grassland birds
Laughing gull,Data deficient,Yes,Marine birds
Laysan albatross,Data deficient,Yes,Marine birds
Leach's storm-petrel,Decreasing,Yes,Marine birds
Least bittern,Stable,Yes,Wetland birds
Least Flycatcher,Decreasing,Yes,Aerial insectivores
Least Flycatcher,Decreasing,Yes,Long-distance migrants
Least Flycatcher,Decreasing,Yes,Forest birds
Least sandpiper,Stable,Yes,Arctic birds
Least sandpiper,Stable,Yes,Long-distance migrants
Least sandpiper,Stable,Yes,Shorebirds
LeConte's sparrow,Decreasing,Yes,Grassland birds
Lesser black-backed gull,Increasing,Yes,Marine birds
Lesser scaup,Decreasing,Yes,Waterfowl
Lesser yellowlegs,Decreasing,Yes,Shorebirds
Lesser yellowlegs,Decreasing,Yes,Long-distance migrants
Lewis's woodpecker,Decreasing,Yes,Forest birds
Long-billed curlew,Decreasing,Yes,Shorebirds
Long-billed curlew,Decreasing,Yes,Grassland birds
Long-billed dowitcher,Decreasing,Yes,Shorebirds
Long-billed dowitcher,Decreasing,Yes,Arctic birds
Long-eared owl,Stable,No,Birds of prey
Long-eared owl,Stable,No,Forest birds
Long-tailed duck,Decreasing,Yes,Marine birds
Long-tailed duck,Decreasing,Yes,Waterfowl
